29
8 14
0 7 0.25
0 20 0.5
0 23 0.25
0 27 1
1 2 1
1 20 1
2 1 1
2 28 1
3 9 0.25
3 14 0.5
3 17 0.5
3 19 0.75
4 8 0.5
4 11 0.5
4 25 1
5 11 1
5 27 1
6 22 1
6 24 1
7 0 0.25
7 23 0.75
7 26 1
8 4 0.5
8 11 0.5
9 3 0.25
9 12 0.75
9 19 1
10 18 1
10 21 1
11 4 0.5
11 5 1
11 8 0.5
12 9 0.75
12 15 1
12 20 0.25
13 16 1
13 21 1
14 3 0.5
14 17 0.5
15 12 1
15 23 1
16 13 1
16 17 1
17 3 0.5
17 14 0.5
17 16 1
18 10 1
18 24 1
19 3 0.75
19 9 1
19 20 0.25
20 0 0.5
20 1 1
20 12 0.25
20 19 0.25
21 10 1
21 13 1
22 6 1
22 26 1
23 0 0.25
23 7 0.75
23 15 1
24 6 1
24 18 1
25 4 1
25 28 1
26 7 1
26 22 1
27 0 1
27 5 1
28 2 1
28 25 1
